rank,rank_change,brand_name,goods_name,price,image_url,category,store,ranking_type
1,2,본셉 스킨케어,본셉 비타씨 동결 건조 더블샷 앰플 키트,5000,https://cdn.daisomall.co.kr/file/PD/20251216/lcOc1IVBETy66kefZV8g1061918_00_00lcOc1IVBETy66kefZV8g.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
2,1,마데카21,마데카21 테카 솔루션 수딩 미스트 토너 200 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251212/lVe1TsvXyVn9pzpTvOMD1044553_00_00lVe1TsvXyVn9pzpTvOMD.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
3,3,바이 리얼베리어,바이 리얼베리어 세라베이스 카밍 모이스처라이징 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/FxVMJqI3Yb0oYpaik6KC1061529_00_00FxVMJqI3Yb0oYpaik6KC.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
4,3,더랩 바이 블랑두,더랩 바이 블랑두 클리어 히알 물광 부스터 앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/wfPC4Z9JWor0Iq7HY3ZD1060644_00_00wfPC4Z9JWor0Iq7HY3ZD.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
5,0,본셉 스킨케어,본셉 레티놀 2500 IU 링클샷 퍼펙터 15 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251218/d8NqIeDpOKYbm6p44Fzf1055168_00_00d8NqIeDpOKYbm6p44Fzf.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
6,0,VT,VT PDRN 광채크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251226/wj1JQs4g8q0tBuz4c7jF1067498_00_01wj1JQs4g8q0tBuz4c7jF.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
7,-1,VT,VT 리들샷 300 페이셜 부스팅 퍼스트 앰플 2ml*6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/biuEYxzjCmX6JMJEi1e01049276_00_01biuEYxzjCmX6JMJEi1e0.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
8,1,더랩 바이 블랑두,더랩 바이 블랑두 클리어 히알 물광 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/aTi0jw3qlVzLpZ0I2EIX1060645_00_00aTi0jw3qlVzLpZ0I2EIX.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
9,1,VT,VT PDRN 광채시트마스크 1매 25 g,1000,https://cdn.daisomall.co.kr/file/PD/20250929/VaaKV3bgiDTNm72FbhfR1067499_00_01VaaKV3bgiDTNm72FbhfR.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
10,-1,VT,VT 리들샷 500 페이셜 부스팅 퍼스트 앰플 2ml*8개입,5000,https://cdn.daisomall.co.kr/file/PD/20251229/SpftDpHXKxW7Bat8r8Vp1057357_00_01SpftDpHXKxW7Bat8r8Vp.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
11,-2,본셉 스킨케어,본셉 레티놀 500 IU 세럼 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251216/0lOXklS1nx5HxNuMya731055167_00_000lOXklS1nx5HxNuMya73.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
12,1,VT,VT 리들샷 100 페이셜 부스팅 퍼스트 앰플 2ml*6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/0XsdymYj3PJyHpuxNOsm1049275_00_010XsdymYj3PJyHpuxNOsm.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
13,3,파티온,파티온 노스카나인 퍼스트스텝 흔적앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251202/EGzX930is0fvOMC37MbX1071642_00_00EGzX930is0fvOMC37MbX.png/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
14,0,셀더마 데일리,셀더마데일리 트랜스포밍 아줄렌카밍 마스크 28 g,2000,https://cdn.daisomall.co.kr/file/PD/20250429/tW0T7spnNIGwTYPuD2KH1059832_00_01tW0T7spnNIGwTYPuD2KH.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
15,-2,더랩 바이 블랑두,더랩바이블랑두 클리어히알결광 스킨핏프렙 40 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251126/YE3oVrS9efGJcoOHvQP21073406_00_01YE3oVrS9efGJcoOHvQP2.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
16,1,메디필,메디필 엑스트라 슈퍼 9 플러스 물광 리프팅 랩핑 마스크 4 ml 4개입,3000,https://cdn.daisomall.co.kr/file/PD/20251202/VO01g4Ibd3IeoCgcXDjf1053499_00_00VO01g4Ibd3IeoCgcXDjf.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
17,3,입큰,입큰 퍼스널 톤 코렉팅 블러 팩트 5.5 g(라벤더),3000,https://cdn.daisomall.co.kr/file/PD/20260116/6GlixjcD2c9eF8MVjjSA1061379_00_006GlixjcD2c9eF8MVjjSA.jpg/dims/resize/1280/quality/90/format/avif/optimize,Mask,다이소,실시간
