순위,관광지명,광역시,시/군/구,lat,lng,area_cd,are_nm,distance_to_center_km,중분류 카테고리,소분류 카테고리,검색건수,실내/실외 구분,추천 연령대,K-Beauty_추천_페르소나
1,더현대서울,서울특별시,영등포구,37.525872071029134,126.9284461241116,POI105,여의도한강공원,0.592,쇼핑,백화점,874296,실내,3040세대,"중국, 일본, 홍콩"
2,가락동농수산물도매시장,서울특별시,송파구,37.4939064359251,127.110954502539,POI058,가락시장,0.003,쇼핑,시장,715801,혼합,5060세대,대만
3,코엑스,서울특별시,강남구,37.51266138067201,127.05882784390124,POI034,선릉역,1.257,문화관광,전시시설,692447,실내,3040세대,"중국, 일본, 미국"
4,신세계백화점강남점,서울특별시,서초구,37.5045443762109,127.004489930085,POI017,고속터미널역,0.056,쇼핑,백화점,683835,실내,3040세대,"중국, 일본, 홍콩"
5,타임스퀘어,서울특별시,영등포구,37.5172951503156,126.90393083403768,POI074,영등포 타임스퀘어,0.0,쇼핑,쇼핑몰,676320,실내,3040세대,"중국, 일본, 미국, 홍콩"
6,HDC아이파크몰용산점,서울특별시,용산구,37.529771801479,126.964741616619,POI046,용산역,0.035,쇼핑,백화점,654867,실내,3040세대,"중국, 일본, 홍콩"
7,롯데월드몰,서울특별시,송파구,37.51260447840551,127.10255558658324,POI119,잠실역,0.22,쇼핑,쇼핑몰,544223,실내,3040세대,"중국, 일본, 미국, 홍콩"
8,노량진수산시장,서울특별시,동작구,37.514766187527776,126.93777601640096,POI063,노량진,0.684,쇼핑,시장,511167,혼합,5060세대,대만
9,IFC몰,서울특별시,영등포구,37.5250415765605,126.92589589473786,POI105,여의도한강공원,0.828,쇼핑,쇼핑몰,428507,실내,3040세대,"중국, 일본, 미국, 홍콩"
10,롯데백화점본점,서울특별시,중구,37.564905601247865,126.98175414832636,POI099,서울광장,0.344,쇼핑,백화점,388521,실내,3040세대,"중국, 일본, 홍콩"
11,동서울종합터미널,서울특별시,광진구,37.53460761349826,127.09418832407404,POI102,아차산,2.004,기타관광,교통시설,382982,혼합,전연령,공통(전체)
12,현대백화점목동점,서울특별시,양천구,37.526654089298255,126.87525853214666,POI125,안양천,0.568,쇼핑,백화점,378709,실내,3040세대,"중국, 일본, 홍콩"
13,롯데월드잠실점,서울특별시,송파구,37.51375175848951,127.10426851557892,POI119,잠실역,0.359,문화관광,테마공원,357082,혼합,3040세대,미국
14,현대백화점무역센터점,서울특별시,강남구,37.508651435836725,127.05977475920854,POI034,선릉역,1.06,쇼핑,백화점,333726,실내,3040세대,"중국, 일본, 홍콩"
15,현대백화점압구정본점,서울특별시,강남구,37.52737270067088,127.0274681898568,POI111,잠원한강공원,0.743,쇼핑,백화점,327825,실내,3040세대,"중국, 일본, 홍콩"
16,롯데백화점잠실점,서울특별시,송파구,37.5122444945046,127.098896048679,POI119,잠실역,0.167,쇼핑,백화점,324072,실내,3040세대,"중국, 일본, 홍콩"
17,국립중앙박물관,서울특별시,용산구,37.52384681210344,126.98020301886912,POI089,국립중앙박물관·용산가족공원,0.287,문화관광,전시시설,305795,실내,3040세대,"중국, 일본, 미국"
18,예술의전당,서울특별시,서초구,37.479446101344905,127.01375358339828,POI018,교대역,1.479,문화관광,공연시설,301663,실내,전연령,"중국, 홍콩"
19,여의도한강공원,서울특별시,영등포구,37.52638860108943,126.93512931714196,POI105,여의도한강공원,0.0,문화관광,도시공원,298641,실외,3040세대,대만
20,가든파이브라이프,서울특별시,송파구,37.47779072112255,127.12479134707128,POI048,장지역,0.154,쇼핑,쇼핑몰,285452,실내,3040세대,"중국, 일본, 미국, 홍콩"
21,어린이대공원,서울특별시,광진구,37.55147044344215,127.08378909469192,POI104,어린이대공원,0.0,문화관광,테마공원,271028,혼합,3040세대,미국
22,롯데백화점청량리점,서울특별시,동대문구,37.58082967458468,127.0476836634231,POI056,회기역,1.352,쇼핑,백화점,260076,실내,3040세대,"중국, 일본, 홍콩"
23,롯데백화점노원점,서울특별시,노원구,37.65507468704351,127.06133796050445,POI070,쌍문역,2.459,쇼핑,백화점,256760,실내,3040세대,"중국, 일본, 홍콩"
24,신세계백화점본점디에스테이트,서울특별시,중구,37.56026711864722,126.98079324400408,POI114,북창동 먹자골목,0.28,쇼핑,백화점,254167,실내,3040세대,"중국, 일본, 홍콩"
25,롯데몰은평점,서울특별시,은평구,37.6375370342509,126.91789992144244,POI043,연신내역,2.058,쇼핑,쇼핑몰,228543,실내,3040세대,"중국, 일본, 미국, 홍콩"
26,올림픽공원,서울특별시,송파구,37.5205340628851,127.120812783275,POI127,올림픽공원,0.0,문화관광,도시공원,223631,실외,3040세대,대만
27,현대백화점천호점,서울특별시,강동구,37.5387565464916,127.124535330064,POI050,천호역,0.06,쇼핑,백화점,221317,실내,3040세대,"중국, 일본, 홍콩"
28,CGV용산아이파크몰,서울특별시,용산구,37.52965451992058,126.96423822386969,POI046,용산역,0.07,문화관광,공연시설,209494,실내,전연령,"중국, 홍콩"
29,NC백화점강서점,서울특별시,강서구,37.55997536195808,126.84051669137811,POI027,발산역,0.284,쇼핑,백화점,181629,실내,3040세대,"중국, 일본, 홍콩"
30,신세계백화점본점더리저브,서울특별시,중구,37.560948320099605,126.9810896051334,POI114,북창동 먹자골목,0.278,쇼핑,백화점,179416,실내,3040세대,"중국, 일본, 홍콩"
31,강서농산물도매시장,서울특별시,강서구,37.55304361317403,126.8207765790854,POI032,서울식물원·마곡나루역,1.586,쇼핑,시장,178731,혼합,5060세대,대만
32,현대백화점신촌점,서울특별시,서대문구,37.55590560311389,126.93559038706536,POI122,신촌 스타광장,0.153,쇼핑,백화점,178395,실내,3040세대,"중국, 일본, 홍콩"
33,현대백화점미아점,서울특별시,성북구,37.608121450299,127.028688147988,POI026,미아사거리역,0.587,쇼핑,백화점,177658,실내,3040세대,"중국, 일본, 홍콩"
34,서울남부터미널,서울특별시,서초구,37.4845690145566,127.015553408181,POI018,교대역,0.921,기타관광,교통시설,173892,혼합,전연령,공통(전체)
35,롯데백화점강남점,서울특별시,강남구,37.496959490738,127.053281143657,POI034,선릉역,0.921,쇼핑,백화점,166202,실내,3040세대,"중국, 일본, 홍콩"
36,반포한강공원,서울특별시,서초구,37.51081992690844,126.99716104081192,POI095,반포한강공원,0.0,문화관광,도시공원,165654,실외,3040세대,대만
37,헌릉과 인릉,서울특별시,서초구,37.4653644311783,127.082087774919,POI112,청계산,3.027,역사관광,역사유적지,164529,실외,5060세대,공통(전체)
38,서울숲,서울특별시,성동구,37.5443222301513,127.037617759165,POI101,서울숲공원,0.0,문화관광,도시공원,161659,실외,전연령,대만
39,현대시티아울렛동대문점,서울특별시,중구,37.5687810426011,127.00769716004,POI083,DDP(동대문디자인플라자),0.264,쇼핑,쇼핑몰,160087,실내,3040세대,"중국, 일본, 미국, 홍콩"
40,경복궁,서울특별시,종로구,37.577613288258206,126.97689786832184,POI008,경복궁,0.0,역사관광,역사유적지,144699,실외,5060세대,공통(전체)
