category_name,brand_name,goods_name,score,rank,sale_price,final_rank
스킨케어,메디힐,[3월 올영픽/1+1] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획,465,8.0,22000.0,1
스킨케어,메디큐브,[3월 올영픽/1등미백앰플] 메디큐브 PDRN 핑크 앰플 30ml 기획 (본품+리필 50ML+겔패드 2매입*2개),453,10.4,24480.0,2
스킨케어,달바,[NO.1 미스트세럼] 달바 퍼스트 스프레이 세럼 100ml 2개 기획,439,13.2,32900.0,3
스킨케어,토리든,[더블기획/1+1] 토리든 다이브인 히알루론산 수딩 크림 더블기획 (100ml+100ml),439,13.2,30900.0,4
스킨케어,이니스프리,[1+1/깐달걀피부결] 이니스프리 레티놀 시카 흔적 앰플 30ml 더블 기획,430,15.0,28000.0,5
스킨케어,구달,[115ml 대용량 기획/3월 올영픽] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 더블 기획(+신제품 TXA세럼),410,19.0,31220.0,6
스킨케어,아누아,아누아 피디알엔 히알루론산 100 수분크림 60mL 2입 기획세트,401,20.8,29500.0,7
스킨케어,메디큐브,[3월 올영픽/여배우광채크림]메디큐브 PDRN 핑크 콜라겐 캡슐크림 55g 기획 (+4.5g*2ea),397,21.6,23086.0,8
스킨케어,아누아,아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획세트 (+크림 30ml),376,7.0,22500.0,9
스킨케어,셀라딕스,[하늘PICK/트러블1등] 셀라딕스 트러블 세범 리밸런싱 RX 131 앰플 30ml,373,26.4,25400.0,10
더모 코스메틱,라로슈포제,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),489,3.2,36900.0,1
더모 코스메틱,유리아쥬,[3월 올영픽/품절대란템 NEW 컬러] 유리아쥬 스틱레브르 컬러드 5종,474,6.2,10260.0,2
더모 코스메틱,바이오더마,바이오더마 센시비오 H2O 500ml 2입,473,6.4,31900.0,3
